ID,Framework name,Official URL,"Is it commercially distributed? (If yes, what is the organization behind it?)",Q1*,Q2,Q3,Q4,Q5,Remarks,Result,Description (extracted from the official websites or repositories without modifications),Available SDKs/Code,License ,Country
1,Agno,https://www.agno.com/,No,Y,Y,Y,Y,Y,,Included,"Agno is a python framework for building multi-agent systems with shared memory, knowledge and reasoning.",Python,MPL 2.0,AE
2,Atomic Agents,https://github.com/BrainBlend-AI/atomic-agents,BrainBlend,Y,Y,Y,Y,Y,,Included,"Building AI agents, atomically",Python,MIT,BE
3,AutoChain,https://autochain.forethought.ai/,Forethought AI,Y,Y,Y,Y,Y,,Included,"AutoChain: Build lightweight, extensible, and testable LLM Agents",Python,MIT,US
4,BeeAI,https://framework.beeai.dev/,Linux Foundation,Y,Y,Y,Y,Y,,Included,BeeAI Framework is an open-source framework for building production-grade multi-agent systems.,"Python
TypeScript",Apache 2.0,US
5,BESSER Agentic Framework (BAF),https://besser-agentic-framework.readthedocs.io/latest/index.html,No,Y,Y,Y,Y,Y,"Notes on MDE support: BAF itself does not document direct MDE-like support, even being part of the BESSER project that is defined around MDE and low-code, so probably on their roadmap.",Included,The BESSER Agentic Framework (BAF) is part of the BESSER (Building Better Smart Software Faster) project at the Luxembourg Institute of Science and Technology (LIST). It aims to make the design and implementation of agents easier and accessible for everyone.,Python,MIT,LUX
6,CAMEL,https://www.camel-ai.org/,Eigent.AI,Y,Y,Y,Y,Y,"Q3: Altough targeting research intensive tasks, the framework is domain-agnostic",Included,"CAMEL is an open-source community dedicated to finding the scaling laws of agents. We believe that studying these agents on a large scale offers valuable insights into their behaviors, capabilities, and potential risks. To facilitate research in this field, we implement and support various types of agents, tasks, prompts, models, and simulated environments.",Python,Apache 2.0,UK
7,CrewAI,https://www.crewai.com/open-source,CrewAIInc,Y,Y,Y,Y,Y,,Included,"CrewAI is a lean, lightning-fast Python framework built entirely from scratch—completely independent of LangChain or other agent frameworks. It empowers developers with both high-level simplicity and precise low-level control, ideal for creating autonomous AI agents tailored to any scenario.",Python,MIT,US
8,Eclipse LMOS (Agent Reactor - ARC),https://eclipse.dev/lmos/,No,Y,Y,Y,Y,Y,"Remark: LMOS is an initiative broader than only agent development. For this analysis, we are considering the framework LMOS Arc and its ecosystem.
Notes on MDE support: The Kotlin SDK provides an MDE-like DSL.",Included,"LMOS is an open-source, sovereign, vendor-neutral platform to build and run enterprise-ready multi-agent systems on cloud or on-prem.","Kotlin
DSL","Apache 2.0
CC
",DE
9,Google Agent Development Kit,https://google.github.io/adk-docs/,Google,Y,Y,Y,Y,Y,,Included,"Agent Development Kit (ADK) is a flexible and modular framework for developing and deploying AI agents. While optimized for Gemini and the Google ecosystem, ADK is model-agnostic, deployment-agnostic, and is built for compatibility with other frameworks. ADK was designed to make agent development feel more like software development, to make it easier for developers to create, deploy, and orchestrate agentic architectures that range from simple tasks to complex workflows.","Python
Java",Apache 2.0,US
10,KaibanJS,https://www.kaibanjs.com/,KaibanJS,Y,Y,Y,Y,Y,"Q2: Although providing a graphical Kanban-style interface, apparently the code is fully acessible and can be changed in a code-first approach.
Notes on MDE support: We consider that the Kanban-style interface may be considered as a MDE-like support since it provides a higher level abstraction to the user similarly to a MDE way",Included,KaibanJS is a JavaScript-native framework for building and managing multi-agent systems with a Kanban-inspired approach.,Javascript,MIT,US
11,LangGraph,langchain.com/langgraph,Langchain,Y,Y,Y,Y,Y,"Notes on MDE support: LangGraph studio may be considered as MDE-like support, but it is a separate tool.",Included,"LangGraph is a low-level orchestration framework for building, managing, and deploying long-running, stateful agents.","Python
Javascript", MIT,US
12,Langroid,https://langroid.github.io/langroid/,No,Y,Y,Y,Y,Y,,Included,Harness LLMs with Multi-Agent Programming,Python,MIT,US
13,llamaindex,https://www.llamaindex.ai/,llamaindex,Y,Y,Y,Y,Y,,Included,"LlamaIndex is a simple, flexible framework for building agentic generative AI applications that allow large language models to work with your data in any format.","Python
Typescript",MIT,US
14,Marvin,https://marvin.mintlify.app/welcome,Prefect,Y,Y,Y,Y,Y,,Included,"Marvin provides a clean, intuitive interface for working with large language models (LLMs) while handling all the complexity of state management, conversation history, and agent coordination.",Python,Apache 2.0,US
15,Mastra,https://mastra.ai/,No,Y,Y,Y,Y,Y,,Included,"The TypeScript AI agent framework. ? Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama.",Typescript,ELv2,US
16,MetaGPT,https://docs.deepwisdom.ai/main/en/,DeepWisdom ,Y,Y,Y,Y,Y,,Included,"The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",Python,MIT,SG
17,PocketFlow,https://the-pocket.github.io/PocketFlow/,No,Y,Y,Y,Y,Y,,Included,Pocket Flow: 100-line LLM framework. Let Agents build Agents!,Python,MIT,US
18,PraisonAI,https://docs.praison.ai/docs/index,No,Y,Y,Y,Y,Y,Notes on MDE support: The framework provides a Low/No-Code option with a proprietary DSL that may have a (meta)model or grammar to be defined,Included,"PraisonAI is a production-ready Multi-AI Agents framework with self-reflection, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. ","Python
Javascript
Typescript
DSL",MIT,UK
19,Pydantic AI,https://ai.pydantic.dev/,Pydantic,Y,Y,Y,Y,Y,,Included,PydanticAI is a Python agent framework designed to make it less painful to build production grade applications with Generative AI.,Python,MIT,UK
20,Rig,rig.rs,Playgrounds Analytics Inc,Y,Y,Y,Y,Y,,Included,"Build portable, modular & lightweight Fullstack Agents",Rust,MIT,US
21,SemanticKernel,https://learn.microsoft.com/en-us/semantic-kernel/overview/,Microsoft,Y,Y,Y,Y,Y,,Included,"Semantic Kernel is a lightweight, open-source development kit that lets you easily build AI agents and integrate the latest AI models into your C#, Python, or Java codebase. It serves as an efficient middleware that enables rapid delivery of enterprise-grade solutions.","C#
Python
Java",MIT,US
22,smolagents,https://github.com/huggingface/smolagents,Huggin Face,Y,Y,Y,Y,Y,,Included,smolagents is a library that enables you to run powerful agents in a few lines of code.,Python,Apache 2.0,FR/US
23,Swarm RS,https://github.com/The-Swarm-Corporation/swarms-rs,Swarms,Y,Y,Y,Y,Y,,Included,The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework in Rust,Rust,Apache 2.0,US
24,uAgents,https://github.com/fetchai/uAgents,fetch.ai,Y,Y,Y,Y,Y,,Included,A fast and lightweight framework for creating decentralized agents with ease.,Python,Apache 2.0,US
25,Upsonic,https://docs.upsonic.ai/,No,Y,Y,Y,Y,Y,,Included,Task oriented AI agent framework for Digital workers and vertical AI agents,Python,MIT,TR
26,VoltAgent,https://voltagent.dev/,No,Y,Y,Y,Y,Y,,Included,"Escape no-code limits and scratch-built overhead. Build, customize, and orchestrate AI agents with full control, speed, and a great DevEx.",Typescript,MIT,US
27,AgentForce,https://www.salesforce.com/eu/agentforce/,Salesforce,N,N,N,Y,Y,,Excluded,"Agentforce brings digital labour to every employee, department and business process to augment employees and improve customer experiences. Agentforce works with your existing apps, data and business logic and can take action across your entire enterprise. And it’s built on the trusted Salesforce platform, so your data always stays safe.",N/A,N/A,US
28,AgentGPT,https://github.com/reworkd/AgentGPT,Reworkd,Y,N,Y,Y,Y,"Q2: The framework does not intend to create agents using a code-first approach, rather they provide a ready-to-use instance with graphical interface for configuration",Excluded,"AgentGPT allows you to configure and deploy Autonomous AI agents. Name your own custom AI and have it embark on any goal imaginable. It will attempt to reach the goal by thinking of tasks to do, executing them, and learning from the results ??.",N/A,GPL 3,US
29,AgentLite,https://github.com/SalesforceAIResearch/AgentLite,Salesforce,Y,Y,Y,Y,N,Q5: The community support is very limited due to the experimental characteristics of the framework,Excluded,AgentLite is a research-oriented library designed for building and advancing LLM-based task-oriented agent systems.,Python,Apache 2.0,US
