Term,Definition,# of mentions in the frameworks,IDs,Synonyms,Frequency,Relevance to the model,Consistency Across Frameworks,Importance Score,Remarks
Agent,"An agent is an autonomous software entity that can perform tasks alone or in collaboration with other agents. Agents perceive their environment, maintain internal state, and take actions based on instructions or goals.",26,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",,3,3,2,8,
Tool,"A utility or service that an agent can use to perform a task. Often, they are external APIs or functions invoked by agents",20,"1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,18,19,22,23,26",,3,3,2,8,
Memory,"The mechanism by which an agent, a team or the user stores and retrieves information. It handles past interactions, context, and learned facts",16,"1,2,3,4,6,7,10,11,14,16,18,21,22,23,25,26",,3,3,2,8,semantic kernel docs are incomplete for memory
Model,A model is a trained machine learning component (often a language model) that processes input and produces output. It may be pre-trained or fine-tuned for specific tasks,19,"1,2,3,4,5,6,7,8,9,12,15,16,17,18,19,20,21,25,26","provider(2,26), llm(3,5,7,12,15,19,25),backend(4), ai client(8), llm wrapper(17), ai service conector(21)",3,3,1,7,
Knowledge,"Domain-specific information accessible by agents. Usually, it comes from external sources (databases, documents) beyond the agent's immediate internal state",3,"1,8,18",,1,3,2,6,
Reason,"The agent’s process of thinking, making inferences, and making decisions based on information.",6,"1,8,18,19,21,23","planning(8,21,23)",2,3,1,6,
Storage,The database used by agents to save relevant information and state between sessions.,3,"1,6,23",,1,3,2,6,
Prompt,A prompt is an input message (often from a user or another system) that instructs the agent on what to do.,9,"1,2,4,6,19,21,22,24,26","system prompt(2),message(4,6,24,26)",2,3,1,6,we decided to consider prompts as a special kind of message
Team,A collection of agents using some team strategy.,11,"1,6,7,9,10,13,16,19,22,23,25","workforce/society(6), crew(7), MAS(9),Multi-agent patterns(13), multi-agent(16), multi-agent application(19), multi-agent(22),bureau(23)",2,3,1,6,
State,"The current condition or configuration of an agent, sometimes holding data.",10,"1,4,5,7,9,10,11,13,17,25","shared store(17), canvas(25)",2,3,1,6,there is a nuance in using the upsonic canvas concept as state
Task,A specific action or set of actions that an agent(s) is designed to perform.,7,"6,7,10,12,14,18,25",,2,2,2,6,
Environment,"The context or setting in which agents operate. This includes external systems, data sources, users, and any aspects outside the agent’s internal model.",2,"1,8",external systems(1),1,3,1,5,
Vector DB,"A VectorDB is a specialized database for storing high-dimensional embeddings (vector representations) of data, commonly used for semantic memory or similarity search.",7,"1,6,12,17,18,20,21","vector store(12,20,21)",2,2,1,5,
Hook,"A hook is an event-triggered function that allows custom actions or checks, potentially modifying tool behavior or handling errors.",6,"1,9,11,21,24,26","callback(9), filter(21),handler(24)",2,2,1,5,
User,A person (or team) that directly interacts with the agent. Users are external to the agent system.,2,"1,2",,1,2,2,5,
RAG,RAG is a technique that combines retrieving relevant information from a knowledge base (often a VectorDB) with language model generation.,9,"1,5,6,13,15,17,18,21,26",Text Search(21),2,2,1,5,
Workflow,"A  deterministic, stateful sequence of steps to be executed by the agent or agents. A workflow defines a process or program of execution.",12,"1,3,4,7,9,11,13,15,17,18,21,25","chain(3),flow(7,17), process(18,21), graph(25)",2,2,1,5,
Input Schema,Specifies the structure and validation rules for the agent's input. Schemas ensure inputs are well-formed,1,2,,1,2,2,5,
Goal,The desired outcome or state that an agent aims to achieve. Goals guide agent planning and decision-making.,2,"5,8",intent(5),1,3,1,5,
Session,A collection of elements linking a user to an agent. Session groups related interactions over a time period,1,9,,1,2,2,5,
Direct LLM Call,A simple and single call to the model API. A direct call may bypass any intermediate agent logic or tools.,1,25,,1,2,2,5,
Instruction,Instructions tell the agent how to behave and how to use its tools.,5,"1,8, 16,17,24","configuration(16), params(17),protocols(24)",1,2,1,4,prams(17) may be also context
Human Interaction,When human oversight and input are required during agent execution.,5,"1,10,11,13,16","user control flow(1), hitl(10,11,13), human engagement(16)",1,2,1,4,
Context,Context is additional information provided to the agent (often via the prompt) to help situate the request.,5,"1,2,9,14,19","threads(14), model settings(19)",1,2,1,4,
Output Schema,Specifies the structure and validation rules for the agent's output,5,"1,2,11,17,19","structured output(1,17,19), response format(11)",1,2,1,4,
Prompt Template,A prompt template is a reusable prompt structure with placeholders that can be filled in or modified.,3,"4,21,26",prompt(26),1,2,1,4,"the definition of prompt, prompt template and message can be confusing"
Requirement,Defined condition or rule that control when and how tools are used by the agent,1,4,,1,1,2,4,
Server,"A server hosts agent framework services, exposing APIs to clients. components built with the framework through a server to external clients.",1,4,,1,1,2,4,"adapted from the term ""serve"""
File,"Standard data containers (text, audio, video, etc.) to be used for data transfers.",4,"5,6,8,9","loader(6), reader(8),artifacts",1,2,1,4,
Interpreter,An interpreter is a software component (or environment) that executes code provided by agents.,2,"6,22",code agents(22),1,2,1,4,"for smaolagents, the code agent is designed to execute code, working as an enviroment"
Rutime,The runtime is the context or environment in which agents (and their code) are executed.,3,"6,9,15",integrations(15),1,2,1,4,
Node,A high-level abstraction of any component of an agent.,1,17,,1,1,2,4,
Toolkit,Collection of tools.,2,"1,21",plugins(21),1,1,1,3,in semantic kernel(21) plugins are collections that include more entities than tools
Embedding,A vector representation of a information in a smaller dimension.,5,"1,4,6,17,20",serialization(4?),1,1,1,3,
Step,Building block of a workflow,5,"4,5,8,9,21","event(5,8,9)",1,1,1,3,
Transitions,Determine the flow of execution between steps. They are conditions or triggers in the workflow.,3,"4,5,21",pattern(21),1,1,1,3,

